1.23266e-04 7.01189e+04  6.95424e+04 6.95424e+04 
2.46531e-04 9.61059e+04  2.27914e+05 2.58397e+05 
3.69770e-04 1.08168e+05  4.89016e+05 5.35106e+05 
4.92961e-04 8.30964e+04  8.78815e+05 8.93646e+05 
6.16112e-04 6.74429e+04  1.35542e+06 1.35530e+06 
7.39247e-04 6.66981e+04  1.94409e+06 1.94402e+06 
8.62383e-04 7.59382e+04  2.65315e+06 2.66069e+06 
9.85510e-04 9.77239e+04  3.44940e+06 3.48352e+06 
1.10860e-03 9.66549e+04  4.35974e+06 4.39250e+06 
1.23165e-03 7.59074e+04  5.38218e+06 5.39035e+06 
1.35467e-03 6.74688e+04  6.49665e+06 6.49775e+06 
1.47768e-03 6.88450e+04  7.72817e+06 7.72998e+06 
1.60068e-03 8.15021e+04  9.06577e+06 9.08078e+06 
1.72367e-03 9.55626e+04  1.04979e+07 1.05303e+07 
1.84662e-03 8.72645e+04  1.20448e+07 1.20669e+07 
1.96953e-03 7.23183e+04  1.36935e+07 1.36989e+07 
2.09242e-03 6.82162e+04  1.54418e+07 1.54440e+07 
2.21530e-03 7.23096e+04  1.73039e+07 1.73095e+07 
2.33817e-03 8.51969e+04  1.92650e+07 1.92851e+07 
2.46102e-03 9.11743e+04  2.13274e+07 2.13549e+07 
2.58383e-03 8.05608e+04  2.34997e+07 2.35144e+07 
2.70661e-03 7.08624e+04  2.57700e+07 2.57747e+07 
2.82936e-03 6.97378e+04  2.81451e+07 2.81488e+07 
2.95211e-03 7.61475e+04  3.06278e+07 3.06378e+07 
3.07485e-03 8.64616e+04  3.32079e+07 3.32300e+07 
3.19755e-03 8.61433e+04  3.58925e+07 3.59143e+07 
3.32023e-03 7.63235e+04  3.86814e+07 3.86918e+07 
3.44287e-03 7.06857e+04  4.15688e+07 4.15736e+07 
3.56550e-03 7.19599e+04  4.45619e+07 4.45679e+07 
3.68812e-03 7.93541e+04  4.76573e+07 4.76712e+07 
3.81072e-03 8.56159e+04  5.08513e+07 5.08727e+07 
3.93329e-03 8.16139e+04  5.41495e+07 5.41661e+07 
4.05583e-03 7.39979e+04  5.75479e+07 5.75561e+07 
4.17834e-03 7.13733e+04  6.10465e+07 6.10522e+07 
4.30084e-03 7.45226e+04  6.46490e+07 6.46578e+07 
4.42333e-03 8.12656e+04  6.83506e+07 6.83670e+07 
4.54579e-03 8.34622e+04  7.21522e+07 7.21712e+07 
4.66822e-03 7.81568e+04  7.60556e+07 7.60685e+07 
4.79063e-03 7.30310e+04  8.00576e+07 8.00650e+07 
4.91302e-03 7.26799e+04  8.41604e+07 8.41675e+07 
5.03539e-03 7.68904e+04  8.83643e+07 8.83758e+07 
5.15774e-03 8.17281e+04  9.26662e+07 9.26833e+07 
5.28007e-03 8.08688e+04  9.70682e+07 9.70842e+07 
5.40237e-03 7.58839e+04  1.01569e+08 1.01580e+08 
5.52464e-03 7.30083e+04  1.06169e+08 1.06176e+08 
5.64690e-03 7.43300e+04  1.10869e+08 1.10877e+08 
5.76914e-03 7.85812e+04  1.15667e+08 1.15680e+08 
5.89136e-03 8.10262e+04  1.20563e+08 1.20579e+08 
6.01355e-03 7.84922e+04  1.25558e+08 1.25571e+08 
6.13572e-03 7.46562e+04  1.30650e+08 1.30660e+08 
6.25786e-03 7.36293e+04  1.35841e+08 1.35849e+08 
6.37999e-03 7.59724e+04  1.41130e+08 1.41141e+08 
6.50210e-03 7.93542e+04  1.46516e+08 1.46531e+08 
6.62419e-03 7.96671e+04  1.52000e+08 1.52015e+08 
6.74625e-03 7.66867e+04  1.57581e+08 1.57592e+08 
6.86828e-03 7.42520e+04  1.63258e+08 1.63267e+08 
6.99030e-03 7.46249e+04  1.69033e+08 1.69042e+08 
7.11230e-03 7.72619e+04  1.74905e+08 1.74917e+08 
7.23428e-03 7.92629e+04  1.80872e+08 1.80887e+08 
7.35623e-03 7.81557e+04  1.86937e+08 1.86950e+08 
7.47816e-03 7.55536e+04  1.93097e+08 1.93107e+08 
7.60007e-03 7.44432e+04  1.99353e+08 1.99362e+08 
7.72196e-03 7.57136e+04  2.05705e+08 2.05716e+08 
7.84383e-03 7.79774e+04  2.12153e+08 2.12166e+08 
7.96567e-03 7.85754e+04  2.18696e+08 2.18710e+08 
8.08750e-03 7.68539e+04  2.25334e+08 2.25346e+08 
8.20930e-03 7.50390e+04  2.32067e+08 2.32077e+08 
8.33108e-03 7.50021e+04  2.38896e+08 2.38905e+08 
8.45284e-03 7.66278e+04  2.45819e+08 2.45830e+08 
8.57458e-03 7.80878e+04  2.52836e+08 2.52849e+08 
8.69629e-03 7.76332e+04  2.59948e+08 2.59961e+08 
8.81799e-03 7.59447e+04  2.67154e+08 2.67165e+08 
8.93966e-03 7.50123e+04  2.74454e+08 2.74463e+08 
9.06131e-03 7.56972e+04  2.81848e+08 2.81858e+08 
9.18294e-03 7.71813e+04  2.89335e+08 2.89347e+08 
9.30455e-03 7.77308e+04  2.96916e+08 2.96929e+08 
9.42614e-03 7.67293e+04  3.04590e+08 3.04602e+08 
9.54770e-03 7.54646e+04  3.12358e+08 3.12368e+08 
9.66925e-03 7.53058e+04  3.20218e+08 3.20228e+08 
9.79077e-03 7.63145e+04  3.28171e+08 3.28182e+08 
9.91228e-03 7.73181e+04  3.36217e+08 3.36229e+08 
1.00338e-02 7.71300e+04  3.44355e+08 3.44367e+08 
1.01552e-02 7.60464e+04  3.52586e+08 3.52596e+08 
1.02767e-02 7.53544e+04  3.60908e+08 3.60918e+08 
1.03981e-02 7.57374e+04  3.69323e+08 3.69333e+08 
1.05195e-02 7.67012e+04  3.77829e+08 3.77841e+08 
1.06408e-02 7.71101e+04  3.86427e+08 3.86439e+08 
1.07622e-02 7.65034e+04  3.95116e+08 3.95128e+08 
1.08835e-02 7.56528e+04  4.03897e+08 4.03907e+08 
1.10048e-02 7.54995e+04  4.12768e+08 4.12779e+08 
1.11261e-02 7.61377e+04  4.21731e+08 4.21742e+08 
1.12474e-02 7.68008e+04  4.30784e+08 4.30796e+08 
1.13687e-02 7.67054e+04  4.39928e+08 4.39940e+08 
1.14899e-02 7.60041e+04  4.49163e+08 4.49174e+08 
1.16111e-02 7.55281e+04  4.58487e+08 4.58498e+08 
1.17323e-02 7.57615e+04  4.67902e+08 4.67913e+08 
1.18534e-02 7.63853e+04  4.77407e+08 4.77418e+08 
1.19746e-02 7.66534e+04  4.87001e+08 4.87013e+08 
1.20957e-02 7.62623e+04  4.96685e+08 4.96697e+08 
1.22168e-02 7.57010e+04  5.06459e+08 5.06469e+08 
1.23379e-02 7.55947e+04  5.16322e+08 5.16332e+08 
1.24589e-02 7.60097e+04  5.26274e+08 5.26285e+08 
1.25800e-02 7.64330e+04  5.36315e+08 5.36326e+08 
1.27010e-02 7.63608e+04  5.46444e+08 5.46456e+08 
1.28220e-02 7.58989e+04  5.56663e+08 5.56673e+08 
1.29430e-02 7.55899e+04  5.66970e+08 5.66980e+08 
1.30639e-02 7.57492e+04  5.77365e+08 5.77375e+08 
1.31849e-02 7.61514e+04  5.87848e+08 5.87859e+08 
1.33058e-02 7.63069e+04  5.98419e+08 5.98431e+08 
1.34267e-02 7.60376e+04  6.09079e+08 6.09089e+08 
