1.23266e-04 6.07313e+04  6.11847e+04 6.11847e+04 
2.46531e-04 8.67464e+04  1.89964e+05 2.21819e+05 
3.69765e-04 8.72425e+04  4.16916e+05 4.49429e+05 
4.92949e-04 6.23903e+04  7.43588e+05 7.46568e+05 
6.16101e-04 5.62517e+04  1.14182e+06 1.14199e+06 
7.39248e-04 5.95415e+04  1.65133e+06 1.65227e+06 
8.62394e-04 7.83138e+04  2.23925e+06 2.26185e+06 
9.85514e-04 8.40200e+04  2.91491e+06 2.94492e+06 
1.10859e-03 6.53555e+04  3.69108e+06 3.69851e+06 
1.23163e-03 5.71598e+04  4.54310e+06 4.54409e+06 
1.35466e-03 5.92277e+04  5.49638e+06 5.49835e+06 
1.47769e-03 7.28029e+04  6.53560e+06 6.55241e+06 
1.60070e-03 8.04214e+04  7.65838e+06 7.68485e+06 
1.72366e-03 6.74028e+04  8.87893e+06 8.88956e+06 
1.84660e-03 5.85144e+04  1.01796e+07 1.01820e+07 
1.96952e-03 5.93813e+04  1.15746e+07 1.15775e+07 
2.09243e-03 6.92906e+04  1.30588e+07 1.30720e+07 
2.21532e-03 7.70630e+04  1.46255e+07 1.46484e+07 
2.33818e-03 6.85409e+04  1.62864e+07 1.62990e+07 
2.46100e-03 5.99894e+04  1.80305e+07 1.80344e+07 
2.58381e-03 5.98038e+04  1.98645e+07 1.98683e+07 
2.70660e-03 6.70947e+04  2.17883e+07 2.17996e+07 
2.82938e-03 7.42075e+04  2.37951e+07 2.38148e+07 
2.95213e-03 6.89701e+04  2.58927e+07 2.59062e+07 
3.07484e-03 6.13564e+04  2.80752e+07 2.80806e+07 
3.19753e-03 6.03743e+04  3.03450e+07 3.03496e+07 
3.32022e-03 6.57503e+04  3.27040e+07 3.27140e+07 
3.44288e-03 7.19094e+04  3.51464e+07 3.51637e+07 
3.56552e-03 6.89253e+04  3.76773e+07 3.76910e+07 
3.68812e-03 6.24962e+04  4.02934e+07 4.03002e+07 
3.81071e-03 6.10048e+04  4.29955e+07 4.30008e+07 
3.93327e-03 6.49526e+04  4.57855e+07 4.57948e+07 
4.05583e-03 7.01217e+04  4.86593e+07 4.86746e+07 
4.17835e-03 6.86052e+04  5.16196e+07 5.16331e+07 
4.30085e-03 6.33735e+04  5.46651e+07 5.46729e+07 
4.42332e-03 6.16303e+04  5.77955e+07 5.78016e+07 
4.54578e-03 6.45037e+04  6.10127e+07 6.10216e+07 
4.66822e-03 6.87600e+04  6.43136e+07 6.43274e+07 
4.79063e-03 6.81533e+04  6.76997e+07 6.77128e+07 
4.91302e-03 6.40042e+04  7.11704e+07 7.11789e+07 
5.03539e-03 6.22070e+04  7.47253e+07 7.47320e+07 
5.15773e-03 6.42746e+04  7.83657e+07 7.83745e+07 
5.28006e-03 6.77359e+04  8.20896e+07 8.21023e+07 
5.40236e-03 6.76619e+04  8.58976e+07 8.59102e+07 
5.52464e-03 6.44280e+04  8.97897e+07 8.97987e+07 
5.64690e-03 6.27100e+04  9.37651e+07 9.37723e+07 
5.76913e-03 6.41800e+04  9.78249e+07 9.78337e+07 
5.89135e-03 6.69707e+04  1.01968e+08 1.01980e+08 
6.01355e-03 6.71844e+04  1.06194e+08 1.06206e+08 
6.13572e-03 6.46910e+04  1.10503e+08 1.10513e+08 
6.25786e-03 6.31297e+04  1.14896e+08 1.14903e+08 
6.37999e-03 6.41638e+04  1.19371e+08 1.19380e+08 
6.50210e-03 6.63998e+04  1.23929e+08 1.23940e+08 
6.62418e-03 6.67477e+04  1.28570e+08 1.28581e+08 
6.74624e-03 6.48359e+04  1.33292e+08 1.33302e+08 
6.86828e-03 6.34669e+04  1.38097e+08 1.38106e+08 
6.99030e-03 6.41891e+04  1.42985e+08 1.42994e+08 
7.11230e-03 6.59725e+04  1.47954e+08 1.47965e+08 
7.23427e-03 6.63623e+04  1.53005e+08 1.53016e+08 
7.35623e-03 6.48982e+04  1.58138e+08 1.58148e+08 
7.47816e-03 6.37290e+04  1.63352e+08 1.63360e+08 
7.60007e-03 6.42323e+04  1.68648e+08 1.68657e+08 
7.72196e-03 6.56500e+04  1.74025e+08 1.74035e+08 
7.84382e-03 6.60293e+04  1.79482e+08 1.79493e+08 
7.96567e-03 6.49051e+04  1.85021e+08 1.85031e+08 
8.08749e-03 6.39261e+04  1.90641e+08 1.90649e+08 
8.20929e-03 6.42787e+04  1.96341e+08 1.96350e+08 
8.33107e-03 6.54033e+04  2.02122e+08 2.02132e+08 
8.45283e-03 6.57446e+04  2.07983e+08 2.07993e+08 
8.57457e-03 6.48767e+04  2.13924e+08 2.13933e+08 
8.69629e-03 6.40693e+04  2.19945e+08 2.19954e+08 
8.81798e-03 6.43201e+04  2.26046e+08 2.26055e+08 
8.93966e-03 6.52109e+04  2.32227e+08 2.32237e+08 
9.06131e-03 6.55023e+04  2.38488e+08 2.38498e+08 
9.18294e-03 6.48268e+04  2.44828e+08 2.44837e+08 
9.30455e-03 6.41689e+04  2.51247e+08 2.51256e+08 
9.42613e-03 6.43520e+04  2.57745e+08 2.57754e+08 
9.54770e-03 6.50570e+04  2.64323e+08 2.64333e+08 
9.66925e-03 6.52959e+04  2.70979e+08 2.70989e+08 
9.79077e-03 6.47650e+04  2.77715e+08 2.77724e+08 
9.91227e-03 6.42341e+04  2.84528e+08 2.84537e+08 
1.00000e-02 6.42419e+04  2.89498e+08 2.89507e+08 
