4.29978e-06 4.79327e-05  1.23056e-07 1.23056e-07 9.38388e-08
4.34277e-04 1.67169e-04  1.67750e-04 2.49202e-04 1.17295e-05
8.64254e-04 3.31393e-04  3.73982e-04 6.43944e-04 1.94504e-05
1.29423e-03 3.40787e-04  7.20232e-04 1.04283e-03 2.87017e-05
1.72421e-03 2.35559e-04  1.18248e-03 1.45353e-03 3.51017e-05
2.15419e-03 2.09609e-04  1.80048e-03 2.02697e-03 4.20548e-05
2.58417e-03 3.23539e-04  2.55113e-03 2.81998e-03 4.65831e-05
3.01415e-03 3.51325e-04  3.39899e-03 3.69368e-03 5.17991e-05
3.44412e-03 2.85552e-04  4.39855e-03 4.66045e-03 5.59296e-05
3.87409e-03 2.39778e-04  5.53962e-03 5.78597e-03 6.04690e-05
4.30406e-03 3.21305e-04  6.80979e-03 7.12996e-03 6.41450e-05
4.73404e-03 4.05366e-04  8.20530e-03 8.60650e-03 6.80722e-05
5.16401e-03 3.69355e-04  9.74877e-03 1.01390e-02 7.22660e-05
5.59399e-03 3.10515e-04  1.14324e-02 1.17663e-02 7.66273e-05
6.02397e-03 2.67811e-04  1.32658e-02 1.35435e-02 8.03886e-05
6.45395e-03 2.90901e-04  1.52123e-02 1.54891e-02 8.39373e-05
6.88392e-03 2.86759e-04  1.73092e-02 1.75695e-02 8.77636e-05
7.31390e-03 2.54433e-04  1.95451e-02 1.97951e-02 9.14060e-05
7.74388e-03 2.57291e-04  2.19135e-02 2.21699e-02 9.53666e-05
8.17387e-03 2.72287e-04  2.44154e-02 2.46780e-02 9.92372e-05
8.60386e-03 2.71630e-04  2.70572e-02 2.72964e-02 1.03252e-04
9.03385e-03 2.11997e-04  2.98437e-02 3.00329e-02 1.07155e-04
9.46384e-03 2.25414e-04  3.27525e-02 3.29355e-02 1.11253e-04
9.89383e-03 2.45471e-04  3.58057e-02 3.59920e-02 1.15253e-04
1.03238e-02 2.47267e-04  3.89960e-02 3.91842e-02 1.19007e-04
1.07538e-02 2.34830e-04  4.23320e-02 4.25189e-02 1.22659e-04
1.11838e-02 2.45263e-04  4.58080e-02 4.60151e-02 1.26290e-04
1.16138e-02 2.67598e-04  4.94362e-02 4.96714e-02 1.29966e-04
1.20438e-02 2.81566e-04  5.31990e-02 5.34487e-02 1.33514e-04
1.24738e-02 2.48237e-04  5.71037e-02 5.73344e-02 1.36904e-04
1.29038e-02 2.21590e-04  6.11520e-02 6.13570e-02 1.40294e-04
1.33338e-02 2.28303e-04  6.53388e-02 6.55448e-02 1.43794e-04
1.37638e-02 2.46470e-04  6.96709e-02 6.98947e-02 1.47249e-04
1.41937e-02 2.61551e-04  7.41367e-02 7.43854e-02 1.50602e-04
1.46237e-02 2.69981e-04  7.87437e-02 7.90067e-02 1.53751e-04
1.50537e-02 2.71888e-04  8.34883e-02 8.37659e-02 1.56889e-04
1.54837e-02 2.75658e-04  8.83895e-02 8.86700e-02 1.60105e-04
1.59137e-02 2.79391e-04  9.34271e-02 9.37119e-02 1.63323e-04
1.63437e-02 2.66177e-04  9.86174e-02 9.88884e-02 1.66700e-04
1.67738e-02 2.52191e-04  1.03956e-01 1.04216e-01 1.69925e-04
1.72038e-02 2.55281e-04  1.09441e-01 1.09708e-01 1.73026e-04
1.76338e-02 2.84401e-04  1.15059e-01 1.15352e-01 1.76063e-04
1.80637e-02 2.69812e-04  1.20834e-01 1.21119e-01 1.79215e-04
1.84937e-02 2.50151e-04  1.26755e-01 1.27011e-01 1.82411e-04
1.89238e-02 2.38288e-04  1.32820e-01 1.33050e-01 1.85725e-04
1.93538e-02 2.40471e-04  1.39023e-01 1.39250e-01 1.89031e-04
1.97838e-02 2.51102e-04  1.45376e-01 1.45602e-01 1.92342e-04
2.02138e-02 2.32775e-04  1.51878e-01 1.52091e-01 1.95678e-04
2.06438e-02 2.31138e-04  1.58523e-01 1.58727e-01 1.99048e-04
2.10738e-02 2.35727e-04  1.65319e-01 1.65523e-01 2.02552e-04
2.15038e-02 2.39788e-04  1.72272e-01 1.72473e-01 2.06117e-04
2.19338e-02 2.28950e-04  1.79372e-01 1.79563e-01 2.09892e-04
2.23638e-02 2.02739e-04  1.86621e-01 1.86804e-01 2.13568e-04
2.27939e-02 2.20355e-04  1.94016e-01 1.94214e-01 2.17341e-04
2.32239e-02 2.37410e-04  2.01573e-01 2.01781e-01 2.20994e-04
2.36539e-02 2.35292e-04  2.09277e-01 2.09482e-01 2.24612e-04
2.40839e-02 2.21858e-04  2.17125e-01 2.17325e-01 2.28152e-04
2.45139e-02 2.30030e-04  2.25125e-01 2.25335e-01 2.31597e-04
2.49439e-02 2.52170e-04  2.33277e-01 2.33506e-01 2.34830e-04
2.53740e-02 2.56642e-04  2.41574e-01 2.41814e-01 2.37906e-04
2.58040e-02 2.45014e-04  2.50023e-01 2.50262e-01 2.40882e-04
2.62340e-02 2.49111e-04  2.58629e-01 2.58879e-01 2.43821e-04
2.66640e-02 2.72341e-04  2.67389e-01 2.67668e-01 2.46756e-04
