1.23266e-04 5.50927e+04  5.35942e+04 5.35942e+04 
2.46531e-04 8.03741e+04  1.55702e+05 1.87394e+05 
3.69758e-04 6.85607e+04  3.53252e+05 3.69535e+05 
4.92937e-04 5.03749e+04  6.15702e+05 6.14897e+05 
6.16095e-04 4.98887e+04  9.56019e+05 9.55374e+05 
7.39256e-04 6.30018e+04  1.37885e+06 1.39007e+06 
8.62402e-04 7.49100e+04  1.86323e+06 1.88967e+06 
9.85505e-04 5.82783e+04  2.43677e+06 2.44321e+06 
1.10857e-03 5.01580e+04  3.07168e+06 3.07257e+06 
1.23163e-03 5.33571e+04  3.79365e+06 3.79597e+06 
1.35468e-03 6.74502e+04  4.58254e+06 4.60068e+06 
1.47770e-03 6.67304e+04  5.44787e+06 5.46511e+06 
1.60069e-03 5.37952e+04  6.38861e+06 6.39209e+06 
1.72364e-03 5.12339e+04  7.40002e+06 7.40197e+06 
1.84659e-03 5.81216e+04  8.49201e+06 8.49987e+06 
1.96953e-03 6.70528e+04  9.65078e+06 9.66923e+06 
2.09243e-03 6.00623e+04  1.08887e+07 1.08989e+07 
2.21530e-03 5.25257e+04  1.21960e+07 1.21993e+07 
2.33816e-03 5.35966e+04  1.35801e+07 1.35841e+07 
2.46100e-03 6.15916e+04  1.50369e+07 1.50493e+07 
2.58382e-03 6.37180e+04  1.65655e+07 1.65804e+07 
2.70660e-03 5.61603e+04  1.81691e+07 1.81757e+07 
2.82936e-03 5.29360e+04  1.98433e+07 1.98471e+07 
2.95211e-03 5.65961e+04  2.15936e+07 2.16007e+07 
3.07484e-03 6.24759e+04  2.34139e+07 2.34276e+07 
3.19754e-03 5.99518e+04  2.53082e+07 2.53190e+07 
3.32022e-03 5.45364e+04  2.72740e+07 2.72793e+07 
3.44287e-03 5.43785e+04  2.93127e+07 2.93179e+07 
3.56551e-03 5.90000e+04  3.14242e+07 3.14341e+07 
3.68812e-03 6.12623e+04  3.36066e+07 3.36191e+07 
3.81071e-03 5.72001e+04  3.58619e+07 3.58699e+07 
3.93327e-03 5.44047e+04  3.81879e+07 3.81933e+07 
4.05582e-03 5.62651e+04  4.05870e+07 4.05941e+07 
4.17834e-03 5.99789e+04  4.30568e+07 4.30679e+07 
4.30085e-03 5.92419e+04  4.55983e+07 4.56085e+07 
4.42332e-03 5.57703e+04  4.82108e+07 4.82175e+07 
4.54578e-03 5.51751e+04  5.08946e+07 5.09008e+07 
4.66821e-03 5.78588e+04  5.36500e+07 5.36588e+07 
4.79063e-03 5.95988e+04  5.64756e+07 5.64864e+07 
4.91302e-03 5.74682e+04  5.93724e+07 5.93809e+07 
5.03538e-03 5.54233e+04  6.23395e+07 6.23459e+07 
5.15773e-03 5.63295e+04  6.53776e+07 6.53849e+07 
5.28006e-03 5.86308e+04  6.84860e+07 6.84957e+07 
5.40236e-03 5.85146e+04  7.16646e+07 7.16742e+07 
5.52464e-03 5.63962e+04  7.49133e+07 7.49207e+07 
5.64690e-03 5.57898e+04  7.82321e+07 7.82389e+07 
5.76913e-03 5.73526e+04  8.16211e+07 8.16295e+07 
5.89135e-03 5.85410e+04  8.50797e+07 8.50893e+07 
6.01354e-03 5.74060e+04  8.86079e+07 8.86164e+07 
6.13571e-03 5.60374e+04  9.22056e+07 9.22127e+07 
6.25786e-03 5.64774e+04  9.58730e+07 9.58805e+07 
6.37999e-03 5.78863e+04  9.96097e+07 9.96186e+07 
6.50209e-03 5.79354e+04  1.03415e+08 1.03424e+08 
6.62418e-03 5.66613e+04  1.07290e+08 1.07298e+08 
6.74624e-03 5.61948e+04  1.11234e+08 1.11241e+08 
6.86828e-03 5.71146e+04  1.15247e+08 1.15255e+08 
6.99030e-03 5.78739e+04  1.19328e+08 1.19337e+08 
7.11230e-03 5.72404e+04  1.23478e+08 1.23486e+08 
7.23427e-03 5.63687e+04  1.27696e+08 1.27704e+08 
7.35622e-03 5.65971e+04  1.31983e+08 1.31991e+08 
7.47815e-03 5.74524e+04  1.36338e+08 1.36347e+08 
7.60007e-03 5.75100e+04  1.40761e+08 1.40770e+08 
7.72195e-03 5.67402e+04  1.45252e+08 1.45260e+08 
7.84382e-03 5.64293e+04  1.49811e+08 1.49819e+08 
7.96567e-03 5.69814e+04  1.54438e+08 1.54446e+08 
8.08749e-03 5.74423e+04  1.59132e+08 1.59141e+08 
8.20929e-03 5.70641e+04  1.63894e+08 1.63902e+08 
8.33107e-03 5.65256e+04  1.68723e+08 1.68731e+08 
8.45283e-03 5.66614e+04  1.73620e+08 1.73628e+08 
8.57457e-03 5.71764e+04  1.78584e+08 1.78592e+08 
8.69629e-03 5.72024e+04  1.83614e+08 1.83623e+08 
8.81798e-03 5.67312e+04  1.88712e+08 1.88720e+08 
8.93965e-03 5.65445e+04  1.93877e+08 1.93884e+08 
9.06130e-03 5.68835e+04  1.99108e+08 1.99116e+08 
9.18294e-03 5.71486e+04  2.04406e+08 2.04414e+08 
9.30454e-03 5.69062e+04  2.09770e+08 2.09778e+08 
9.42613e-03 5.65812e+04  2.15201e+08 2.15208e+08 
9.54770e-03 5.66749e+04  2.20698e+08 2.20705e+08 
9.66924e-03 5.69810e+04  2.26261e+08 2.26269e+08 
9.79077e-03 5.69755e+04  2.31890e+08 2.31898e+08 
9.91227e-03 5.66831e+04  2.37585e+08 2.37592e+08 
1.00000e-02 5.65505e+04  2.41738e+08 2.41746e+08 
